PC1,PC2,PC3,PC4,PC5,onetsoc_code
-12.757872,-4.5560436,2.2611468,7.2320633,1.7470533,11-1011.00
-10.10675,-0.7020601,0.48993528,3.3963296,3.1293528,11-1011.03
-6.7186465,-0.0093987025,-0.027435865,5.6134806,0.6390752,11-1021.00
-9.083548,1.4971943,-0.49726194,3.8920715,2.854714,11-2011.00
-9.342248,0.54678833,-1.0953488,4.6469107,2.2719703,11-2021.00
-9.541526,0.80593413,0.30294544,5.6467223,0.955128,11-2022.00
-4.897347,0.25827143,1.0030925,5.4108753,-1.1310341,11-3012.00
-7.080232,-2.496037,-3.3251355,2.1907635,-0.0022249443,11-3021.00
-9.057977,1.8334757,-1.2266061,5.123656,-2.3097706,11-3031.00
-9.199778,0.6899612,-3.89732,3.9316244,-2.1810853,11-3031.01
-8.690419,0.87898153,-3.378002,2.7114146,-1.7298312,11-3031.03
-4.0894136,-5.6380177,0.68832386,4.4161315,0.35109252,11-3051.00
-5.2498198,-5.8343587,-1.500429,1.3482924,-0.9382454,11-3051.01
-3.2723591,-6.9036326,0.40990555,4.091338,0.72968847,11-3051.02
-2.81933,-5.553149,-0.0038227183,3.4093072,-0.033624016,11-3051.03
-2.7263076,-6.504047,0.24144907,3.8383014,-0.106902525,11-3051.04
-3.3957875,-8.105906,0.41895163,3.575449,-0.6020807,11-3051.06
-9.313731,-0.123468116,-0.4854014,6.762803,0.06731269,11-3061.00
-6.394303,-0.9924168,0.69836897,6.222182,0.14020589,11-3071.00
-9.017355,-1.6846769,-0.9323211,6.777563,0.2584718,11-3071.04
-8.621846,4.7336187,-1.7205645,3.69406,-1.0162568,11-3111.00
-10.848623,0.7688397,2.1114829,3.6639092,-0.5973415,11-3121.00
-10.833098,-0.2909196,1.448123,2.3742511,2.0841575,11-3131.00
-0.9499095,-5.1276326,1.8541068,4.1308727,1.1664916,11-9013.00
-5.60939,-5.407259,-0.33815628,5.8985987,1.3372383,11-9021.00
-8.880597,-0.76714957,4.4157557,3.3174596,2.1149185,11-9031.00
-11.789754,-2.995928,4.8291116,2.8507316,1.840096,11-9032.00
-11.644286,0.15614767,1.9339411,2.271156,0.5310016,11-9033.00
-8.002973,-4.4007344,-2.9335482,3.7034016,2.126155,11-9041.00
-2.6088989,-4.959907,-3.3247705,-0.28247476,0.26582944,11-9041.01
-2.9399533,-0.22087917,3.4316063,4.8957143,0.587359,11-9051.00
-6.5153575,-1.5343342,2.2778141,4.934171,-1.680463,11-9071.00
-7.2124205,-2.8549352,5.446748,7.116097,0.49942455,11-9081.00
-11.216474,-1.6887405,1.5342084,3.8457584,-0.10913688,11-9111.00
-7.0987616,-2.7231195,-2.0470264,0.77791613,0.5090432,11-9121.00
-7.9006824,0.36609504,-0.04391588,-0.2634534,-2.3132021,11-9121.01
-6.8217745,-3.67724,-4.217636,0.789446,1.1507477,11-9121.02
-6.4915047,-1.1403021,2.0656345,5.7498417,-0.82271093,11-9131.00
-6.2926207,3.754485,-0.57729125,6.3107667,-0.12110637,11-9141.00
-10.0007105,-0.20994222,3.6709907,2.7948678,0.6750354,11-9151.00
-9.2233515,-4.2169504,4.506544,4.5236464,0.8388678,11-9161.00
-3.7331,1.5433517,4.312059,3.3101685,-0.6049869,11-9171.00
-3.9198687,0.1872076,4.791839,1.8514605,2.7692962,11-9179.01
-6.1905518,0.07138934,2.470855,4.472314,-0.8057306,11-9179.02
-8.069475,1.3830371,-1.6814767,0.80431014,-1.5672164,11-9199.01
-7.1494823,1.5258143,1.2389209,2.6521802,-1.8885417,11-9199.02
-6.2365766,-2.79159,3.3287337,3.1649303,-0.65568316,11-9199.08
-2.5880427,-5.3405676,1.3350785,4.508996,-0.80233246,11-9199.09
-6.292902,-1.5299044,-1.6344328,4.7304387,0.999616,11-9199.10
-7.7683196,-2.3827581,-3.1968935,2.2836373,0.4045231,11-9199.11
-7.740397,6.8090744,0.50164974,3.308211,1.8264749,13-1011.00
-3.6859863,1.8262284,-1.2460976,5.5587726,0.5850823,13-1021.00
-4.4203153,2.685643,-2.7134428,3.9056988,0.3647548,13-1022.00
-8.120357,1.8800882,-1.6573727,5.4444633,0.19464025,13-1023.00
-6.6571383,1.1772354,-1.0838706,1.3335061,-3.4607875,13-1031.00
0.36477318,3.189158,-1.8572487,1.8491532,-2.4235299,13-1032.00
-1.4614465,0.025569467,3.1775963,1.0881405,-3.3483632,13-1041.00
-2.6874747,-4.848994,-0.6883899,-1.0610492,-3.1240435,13-1041.01
-8.870388,2.5778706,0.9840708,-0.48543975,-2.6842425,13-1041.03
-3.087065,-6.6845927,2.6997533,2.4010553,-2.3512244,13-1041.04
-3.6120117,-1.7618301,4.0359254,-2.0868587,-2.4141605,13-1041.06
-7.4636617,1.3099374,-2.591702,0.012076559,-2.2754118,13-1041.07
-6.8446994,3.1385608,-1.6107057,4.4505568,-2.1066074,13-1041.08
-5.894044,1.0572304,-6.163928,3.9282303,-0.3588038,13-1051.00
-6.336023,6.2523303,-0.56535083,1.63791,-2.1753733,13-1071.00
3.5092947,5.5476265,2.2513597,3.3446543,-0.83983666,13-1074.00
-8.766503,3.7371025,0.69156766,1.7955452,-0.9975757,13-1075.00
-8.702996,-0.78314,-0.8821367,5.158261,0.025079831,13-1081.00
-7.7293544,-4.1941667,-5.265823,3.0687337,0.3881461,13-1081.01
-6.8684483,-0.6593144,-3.131882,3.1278229,-2.0196161,13-1081.02
-10.500616,-0.063093774,0.13668577,3.1735284,0.2657708,13-1111.00
-6.1103926,-0.61994725,2.8622065,4.2491794,1.157776,13-1121.00
-8.82518,4.436327,-0.46656227,3.533474,1.2074866,13-1131.00
-6.9354935,3.4432516,-1.7859204,2.3045974,-1.0176349,13-1141.00
-9.710646,1.4534632,2.0814688,0.16940948,2.0669518,13-1151.00
-8.914683,2.121176,-2.6608424,1.2607508,0.44844988,13-1161.00
-8.303719,2.6328077,-3.1339037,1.057268,0.8125211,13-1161.01
-8.947802,-0.5604141,-1.1927778,3.016014,0.15079167,13-1199.04
-6.932251,1.3688612,-1.7068851,1.6243904,2.1944866,13-1199.05
-4.466534,5.2184196,-4.257514,4.9066286,1.1142805,13-1199.06
-7.4510555,1.7848885,-4.5231395,2.6992304,-3.5868988,13-2011.00
-2.5217724,1.977874,-1.8817716,2.8851442,-1.991313,13-2023.00
-7.4004693,2.9722962,-3.9816232,2.862727,-2.8692348,13-2031.00
-4.762394,4.954359,-5.749126,1.3493506,-3.643289,13-2041.00
-8.991401,2.990454,-1.9301198,1.9635956,-2.0543394,13-2052.00
-4.4224467,5.5052156,-3.563563,1.1057259,-2.080481,13-2053.00
-8.971106,1.0276362,-3.2357404,0.85311496,-3.6604333,13-2061.00
-7.1635237,5.7833257,-1.0291833,0.65723383,-1.7194458,13-2071.00
-5.800099,5.1334515,-2.550742,2.6929944,-2.2698727,13-2072.00
-5.856186,3.673209,-2.12045,1.4421115,-4.1060143,13-2081.00
-3.7157176,6.45609,-4.72811,1.6260531,-2.6302512,13-2082.00
-6.591019,1.4282979,-6.9585867,0.25153774,-1.5898743,13-2099.01
-8.338483,1.4007032,-0.0057924753,2.8717372,-2.2237453,13-2099.04
-5.239334,-2.4569216,-5.3158503,-0.27557632,-1.129809,15-1211.00
-9.237477,-2.7475584,-0.7141147,-1.2535241,0.3478459,15-1211.01
-4.827764,-0.90561527,-3.956059,0.34827217,-1.8387258,15-1212.00
-6.6441855,-3.6775904,-6.281066,-0.6517173,1.578131,15-1221.00
-0.78513175,-0.03923037,-4.7099895,-0.6629194,-0.8972392,15-1231.00
-2.371352,-0.8997489,-2.6900995,0.4707765,-0.3124982,15-1232.00
-4.955425,-3.7796295,-5.571217,0.4175231,0.5406289,15-1241.00
-0.9958216,-1.9667026,-3.919137,1.857094,1.1998955,15-1241.01
-5.1477194,-0.56452394,-5.7799745,0.42248917,-1.4158723,15-1242.00
-4.732242,-0.5494817,-7.0483747,-0.935878,-0.1359941,15-1243.00
-4.152506,1.9649211,-7.724896,-0.6618115,-0.83287364,15-1243.01
-2.6139946,-4.539065,-5.200991,0.45606455,-0.66535634,15-1244.00
-4.321872,0.37650108,-7.366896,-0.3012801,0.46033984,15-1251.00
-3.8402452,-0.08117256,-6.430028,-2.6728222,-1.2321553,15-1253.00
-3.9850354,0.92236906,-6.3577056,-1.7072121,1.0691897,15-1254.00
-6.295488,-0.31735525,-4.882017,-2.0750117,4.059748,15-1255.01
-5.067754,0.5477953,-4.775272,0.09995957,0.66304886,15-1299.01
-4.701669,-1.3606566,-4.9358554,-0.72872204,0.43592817,15-1299.02
-5.934434,2.1069648,-3.0212429,1.2205485,-0.993423,15-1299.03
-7.064741,-2.8021576,-5.735475,0.083114274,0.5211245,15-1299.08
-9.3078375,-0.92047787,-2.0274317,4.7884846,0.9085578,15-1299.09
-8.320447,-0.14416414,-6.1314096,0.98791605,-2.7465081,15-2011.00
-6.819003,0.03707921,-8.388331,-3.9580128,-1.0610017,15-2021.00
-8.396861,-0.43425965,-7.5667033,-0.5170494,-0.1896702,15-2031.00
-6.79619,0.7266939,-7.699011,-3.5286663,-2.475394,15-2041.00
-8.469328,-0.34859616,-5.7752705,-3.4571416,-1.2282203,15-2041.01
-7.2580605,3.0829003,-5.2307315,0.36259484,-1.299402,15-2051.01
-7.092282,0.45324683,-4.3092613,-1.2841798,-3.262504,15-2051.02
-5.1759806,-0.6342942,-6.4366975,-2.9904041,-2.1595352,15-2099.01
-7.6890845,-6.027046,-2.2525115,2.8015072,5.368857,17-1011.00
-7.8105674,-3.0537176,-0.8482321,2.1495185,5.615495,17-1012.00
-1.9263078,0.77094555,-4.5515637,-0.8304987,0.07356196,17-1021.00
-0.48515585,-5.035122,-1.4059228,3.0645115,0.018519431,17-1022.00
-1.8561089,-5.3939157,-4.053495,-0.062061243,-1.0117347,17-1022.01
-6.2320557,-5.1267066,-6.870909,-0.50147974,1.1366538,17-2011.00
-4.6988792,-7.548546,-2.713404,1.2151648,2.2886536,17-2021.00
-6.306757,-8.685108,-5.2668843,-2.3940854,2.1540914,17-2031.00
-5.1095195,-7.654822,-7.4216785,-0.3036692,1.425523,17-2041.00
-6.412275,-5.9000826,-4.952675,3.1058564,1.5907112,17-2051.00
-7.575826,-5.7978888,-4.5242934,3.499562,2.6792347,17-2051.01
-7.350382,-5.78081,-5.68314,1.9456619,1.8618304,17-2051.02
-4.527291,-3.3442986,-7.3070583,-1.6125158,1.1777517,17-2061.00
-5.1053963,-4.720266,-5.377459,0.42814282,0.8626298,17-2071.00
-3.0613158,-6.585307,-6.7738495,-1.3734614,1.2824998,17-2072.00
-3.1954594,-1.5822002,-4.6454806,0.6176849,1.5449104,17-2072.01
-7.4449697,-3.4975305,-3.6821637,0.22702451,0.90845543,17-2081.00
-4.8538613,-5.8356943,-0.6660322,0.40528363,0.58452374,17-2111.00
-5.773186,-6.027519,-4.2142425,1.2450066,1.780106,17-2111.02
-3.7771487,-3.2609272,-3.9244153,1.8197155,0.7496818,17-2112.00
-7.133413,-2.0619848,-3.7695744,-1.4689215,1.2855729,17-2112.01
-4.618978,-3.054317,-4.3930492,-0.42123443,-0.8503328,17-2112.02
-2.786533,-9.999385,-4.1221743,0.9599702,2.2068572,17-2112.03
-3.0112998,-7.251112,-3.6572726,1.709391,1.660262,17-2121.00
-4.0228896,-5.320955,-5.836391,-1.040377,1.7759079,17-2131.00
-3.6814058,-6.5292687,-7.684778,0.65536153,1.8887409,17-2141.00
-2.804488,-6.7599983,-7.029218,-1.7785952,0.8716382,17-2141.01
-4.7839856,-7.136336,-5.0351396,1.5274631,2.0042489,17-2141.02
-6.957284,-6.827675,-5.3155384,2.0133643,0.6154805,17-2151.00
-6.392768,-7.569637,-5.4284706,-0.9701636,0.15189207,17-2161.00
-6.851228,-4.521879,-4.7402983,1.1718266,0.38667443,17-2171.00
-7.0708113,-4.004655,-4.2581153,1.3637944,1.0525206,17-2199.03
-2.4671342,-5.297443,-6.5203648,-1.2350892,1.0334164,17-2199.05
-3.6580966,-6.832687,-5.4428563,-0.9269712,0.43836868,17-2199.06
-2.6267657,-5.6241446,-8.184193,-2.44111,1.4384152,17-2199.07
-2.3169222,-11.197863,-5.2085233,-0.45812732,1.7996765,17-2199.08
-4.5647807,-7.1809597,-5.9546924,-2.520695,1.4622153,17-2199.09
-3.6454067,-1.7683997,-5.5104666,1.9201733,2.8080606,17-2199.10
-1.9231294,-4.3453383,-3.8563364,1.0462689,1.633917,17-2199.11
-2.199033,0.03136945,-5.4001064,0.6214294,2.546747,17-3011.00
-1.8711764,-0.98109996,-4.9802723,0.48222998,1.2884531,17-3012.00
-0.6636271,-0.49207562,-7.4016485,-0.025533093,3.029924,17-3013.00
1.1457791,-5.951981,-4.4709606,-0.63525355,-1.2529399,17-3021.00
-2.2685509,-2.9822137,-4.3859096,2.2381532,0.24587232,17-3022.00
0.7483613,-4.778932,-4.998719,-0.57328403,0.38036984,17-3023.00
5.763029,-7.4693513,-3.3748035,-2.2155828,-1.0165551,17-3024.00
3.7998047,-8.961083,-3.273884,-1.7375262,-0.39974272,17-3024.01
0.62061185,-6.1770616,-1.3855714,-0.2062507,-0.15635383,17-3025.00
-0.7660919,-4.677456,-4.3440757,-0.65352595,0.13053992,17-3026.00
1.6569389,-4.592516,-4.7924013,-2.8623066,-0.7762734,17-3026.01
1.7255986,-7.39539,-2.725092,-0.39225277,-0.23188901,17-3027.00
3.4747136,-5.9247136,-2.2953086,-0.17227747,0.02365286,17-3027.01
2.2482445,-6.4516716,-0.9988812,0.17093594,-0.5597263,17-3029.01
3.3199031,-3.7077885,-5.71178,-1.775924,0.009588686,17-3029.08
1.2008016,-2.1128066,-3.3956215,0.2911134,0.23287745,17-3031.00
-5.8638434,-4.4254,-0.8804105,-1.0623941,0.35502842,19-1011.00
-4.4551997,-4.607114,-1.8683224,-1.999791,0.36301968,19-1012.00
-4.372151,-5.6778846,-1.1615098,-0.95822674,1.278064,19-1013.00
-6.5058584,-6.773641,-4.9188256,-5.4914474,0.4431189,19-1021.00
-4.9879313,-5.2820444,-2.481235,-3.9797976,-1.3604189,19-1022.00
-3.8535328,-3.8801198,1.3831582,-0.17463814,-0.83167446,19-1023.00
-7.6738873,-3.9852996,-4.775383,-3.086267,-1.1912178,19-1029.01
-7.025968,-6.1500144,-2.5057096,-3.6455564,-0.2762008,19-1029.02
-8.289393,-3.8234885,-2.937821,-4.9064717,-0.9809392,19-1029.03
-5.5778904,-4.348505,-1.6476002,-1.5289012,-0.97008663,19-1029.04
-2.2161503,-4.052223,0.9048075,1.1201116,1.3148421,19-1031.00
-2.6042366,-2.830364,1.5306455,1.7958426,0.9971779,19-1031.02
-2.9511244,-0.9503876,5.0194798,-0.2935072,2.269025,19-1031.03
-2.1570783,-5.7420764,1.8535163,2.7473853,0.13471752,19-1032.00
-11.652002,-2.7354784,-0.7826448,-2.9861724,-0.53462946,19-1041.00
-7.201536,-2.9868155,-3.2874622,-4.8428674,-1.8759564,19-1042.00
-7.1632347,-4.7026744,-5.61131,-2.8268769,0.29162902,19-2011.00
-9.027818,-6.4449778,-6.7301955,-2.4982865,0.5154501,19-2012.00
-7.8154693,-2.1093814,-3.1814737,-1.2710577,-0.16192618,19-2021.00
-2.4934454,-5.0972605,-4.5059247,-2.6728268,-1.0988706,19-2031.00
-4.915711,-4.831191,-6.0903187,-2.3674116,0.49328458,19-2032.00
-5.9213543,-3.3493557,-1.1058903,-0.31975096,-1.2972317,19-2041.00
-7.8468385,1.2272063,-2.9731905,-1.0078893,0.08973192,19-2041.01
-4.978986,-4.3899426,-1.307282,0.9214781,1.3635231,19-2041.02
-7.023945,-1.7217543,-5.0487823,-0.6812957,1.2610785,19-2041.03
-4.4502354,-3.8112793,-2.0484097,-1.87784,0.29933438,19-2042.00
-3.651044,-4.789852,-3.0564308,-1.9104513,0.3005085,19-2043.00
-6.837473,-4.1068006,-5.25935,-1.2074391,1.0001638,19-2099.01
-8.78463,2.5117762,-4.3813076,-0.93053883,0.09598812,19-3011.00
-8.62855,0.9259178,-4.7792635,-0.76547945,-0.6343116,19-3011.01
-8.522598,1.9360551,-3.5260262,-0.2864611,-1.2090454,19-3022.00
-12.94965,-1.1839736,0.046760935,0.05360605,0.54174554,19-3032.00
-10.472498,2.5791304,4.7210264,-3.199168,-0.66982716,19-3033.00
-10.107897,2.465823,2.8856184,-2.9908211,-1.5086987,19-3034.00
-10.126559,4.3417597,0.643085,-3.552921,2.47326,19-3041.00
-8.927287,-0.095691614,-0.52534336,2.0049365,1.6926717,19-3051.00
-6.79844,-1.3847897,2.1757038,-3.9617171,2.6139646,19-3091.00
-7.8452315,0.38234752,-2.0325842,-2.5091076,1.545019,19-3092.00
-5.9728665,5.575155,0.03699067,-2.3507261,2.9568238,19-3093.00
-9.515606,4.408754,0.096017644,-2.8063898,1.2385256,19-3094.00
-8.163767,-1.7160922,-2.7560916,2.235776,1.1672133,19-3099.01
1.5646367,-2.4082406,-0.57346696,0.49815965,-0.46276498,19-4012.00
-0.15009375,-4.5330386,-1.7211158,0.46693012,0.2466998,19-4012.01
1.4914078,0.459842,-3.845436,-2.7251368,-2.3400874,19-4013.00
0.52587014,-2.1935003,-3.839922,-4.843308,-2.5215335,19-4021.00
0.3025905,-4.2182393,-3.447335,-3.6607854,-1.3988788,19-4031.00
-0.79819465,-3.906277,-0.26848114,-0.52606314,-1.3700291,19-4042.00
2.2009473,-1.5045247,-3.2579374,-1.2076048,-0.35947233,19-4043.00
3.6834297,-8.048067,-0.33977547,-1.9716641,-3.8193457,19-4051.00
0.23564193,-4.780269,-1.3875937,-2.5757205,-3.6846287,19-4051.02
-4.5979652,3.406437,-4.306745,-2.5105307,-1.5555068,19-4061.00
2.6881552,-4.6674366,3.076761,1.3199402,0.8214063,19-4071.00
-1.1682179,-5.0178804,1.6457407,-2.3695462,-3.3226845,19-4092.00
0.81312495,-2.2679617,-2.9445765,-1.6024114,-1.515808,19-4099.01
-1.7346282,-2.3069139,-5.3121376,-0.1067434,-0.40254304,19-4099.03
-4.842292,-6.064092,0.5498884,-0.35291234,-0.4523658,19-5011.00
-2.3696308,-3.236383,1.0271832,0.6762379,-0.151175,19-5012.00
-7.653899,0.49197835,7.2284436,-1.0556517,0.6309626,21-1011.00
-8.7626505,3.164737,5.4862366,-2.8940413,-0.24706957,21-1012.00
-10.244855,2.8638263,4.839508,-4.255058,-0.41967845,21-1013.00
-9.97992,1.926696,5.3556404,-3.0440075,-0.5141984,21-1014.00
-7.8472757,4.445288,4.0577164,-0.3412669,0.23811887,21-1015.00
-7.497735,1.0877455,6.499899,-1.285744,-0.7042682,21-1021.00
-8.414258,3.0746663,6.2729816,-3.0232248,0.33152917,21-1022.00
-9.239864,1.219339,5.6188626,-3.2722523,-0.47931585,21-1023.00
-8.023286,2.440024,4.2869015,-0.8313291,0.9443498,21-1091.00
-3.8266585,2.9618554,5.356681,-1.0046395,-1.8120402,21-1092.00
-4.946631,3.5965996,4.398352,-1.7834119,-1.722149,21-1093.00
-4.4746637,0.869009,6.061217,-0.3727758,-0.5605673,21-1094.00
-11.989855,1.9515035,6.3717346,1.2341369,3.283073,21-2011.00
-8.650367,2.9884996,3.5713043,0.35138947,2.5967107,21-2021.00
-10.621139,0.4297213,0.7303703,1.3772637,-1.25276,23-1011.00
-6.171523,5.20725,-2.116233,-2.1025841,-3.616003,23-1012.00
-8.14388,3.112311,0.35331523,-0.7399758,-4.100676,23-1021.00
-8.131894,6.003543,0.38680187,-0.43236712,-1.9268882,23-1022.00
-10.152496,2.529414,1.2969087,-1.1637144,-2.800019,23-1023.00
-4.0629168,6.723481,-2.078425,-1.3041078,-3.785157,23-2011.00
-2.0783093,7.8089294,-4.1330843,-0.271193,-3.5454686,23-2093.00
-9.684929,3.1252542,-0.08826262,0.40629992,1.1085086,25-1011.00
-9.135972,-0.68775964,-1.2752779,0.33613685,1.8097245,25-1021.00
-7.8143897,2.7566702,-3.6037743,-3.1261413,-0.59447783,25-1022.00
-9.341785,-1.1324679,0.5328494,-1.115245,5.584356,25-1031.00
-7.9622755,-2.6305645,-4.4122133,-1.491638,2.2488441,25-1032.00
-7.093447,-0.21796726,2.197363,-0.75789183,2.685552,25-1041.00
-8.8110075,0.18796314,-0.37541574,-4.2904572,1.2670038,25-1042.00
-7.467918,-0.3885791,0.98291487,-1.2890046,1.2753427,25-1043.00
-9.113269,0.50158966,-1.1150424,-3.2911954,1.4729227,25-1051.00
-8.152456,-1.424151,-1.484219,-3.500789,0.96513975,25-1052.00
-8.780921,0.67417085,-0.6679541,-2.4400733,2.2112973,25-1053.00
-6.71807,-1.6067523,-2.9322336,-3.1410482,1.4045174,25-1054.00
-10.934064,1.9096956,3.776108,-4.0663424,3.6273699,25-1061.00
-9.21444,4.7558856,2.411215,-3.180941,3.814304,25-1062.00
-8.035128,3.2201996,-1.6925313,-1.207975,0.2239787,25-1063.00
-8.469061,3.428794,-0.41319883,-3.3903422,2.8295567,25-1064.00
-8.639185,6.0263805,1.564664,-2.7696862,2.2716725,25-1065.00
-10.102634,3.6282032,1.7074957,-4.3902984,2.2326033,25-1066.00
-9.637249,5.529691,2.4094315,-3.2764368,3.0035985,25-1067.00
-7.915463,0.6236839,3.0212123,-2.639115,1.3841251,25-1071.00
-7.9779315,-1.2771407,4.771405,-3.7876935,0.35644346,25-1072.00
-9.52173,4.0744047,2.272093,-2.732125,2.204249,25-1081.00
-8.978597,3.4037776,1.2449456,-2.3658013,1.2879151,25-1082.00
-8.822009,4.504141,2.498873,-0.71142757,1.3039855,25-1111.00
-9.208141,5.095882,0.7859506,-2.4975784,1.2799408,25-1112.00
-10.767492,3.7820199,3.399111,-2.707986,1.9990262,25-1113.00
-7.274449,2.4199977,3.5884657,-3.4658895,7.2084017,25-1121.00
-9.8573675,4.947851,3.23444,-2.1701388,3.5391362,25-1122.00
-10.022351,5.734281,3.1069677,-3.5939934,3.810638,25-1123.00
-8.079538,6.679144,2.1985373,-4.235736,3.083569,25-1124.00
-10.107941,5.291068,3.0709195,-2.7234569,3.5988307,25-1125.00
-8.618426,6.409608,1.6924931,-4.930486,3.0065398,25-1126.00
-7.7901764,3.891647,1.157229,-1.5825205,2.446638,25-1192.00
-7.7547727,1.8812695,1.9922756,-1.9565547,2.5069513,25-1193.00
